#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.geneSymbol
uc003mnp.3	Q96A61	TRIM52
uc010jlv.2	C9J4L2	LOC100133331
uc021ykj.1		LOC388312
uc011dhm.2	Q6IEY1	OR4F16
uc003msx.3	Q9NRW4	DUSP22
uc003msz.4	Q15306	IRF4
uc003mtd.4	Q96KP1	EXOC2
uc003mtg.3	Q8NHY5	HUS1B
uc003mtl.4	Q9C009	FOXQ1
uc003mtm.3	Q12947	FOXF2
uc003mtp.3	Q12948	FOXC1
uc003mtq.3	O60547	GMDS
uc003mtw.2	Q96MT4	C6orf195
uc003mty.4	Q86YV6	MYLK4
uc003mtz.3	Q96S55	WRNIP1
uc003mub.4	P30740	SERPINB1
uc003mug.4	P50453	SERPINB9
uc031smo.1	NP_001258751	SERPINB6
uc003mur.5		DKFZP686I15217
uc003mus.2	P16083	NQO2
uc003mux.3	Q13546	RIPK1
uc003mva.3	Q86WA6	BPHL
uc003mvc.3	Q13885	TUBB2A
uc003mvg.3	Q9BVA1	TUBB2B
uc010jnl.1	C9J2F8	PSMG4
uc003mvm.3	A1A5C7	SLC22A23
uc003mvt.2	Q5TGL8	PXDC1
uc003mvu.3	Q9Y247	FAM50B
uc003mvv.3	Q13523	PRPF4B
uc003mvx.3	Q8IXS0	FAM217A
uc003mwa.4	Q7Z4U5	C6orf201
uc003mwf.3	O75521	ECI2
uc003mwj.3	Q9Y232-2	CDYL
uc003mwl.3	O75818	RPP40
uc011dhz.3		BC133670
uc011dia.1	B7ZBB8	PPP1R3G
uc021ykw.1	F5H189	LYRM4
uc003mwr.2	O95363	FARS2
uc003mwu.3	Q9NPD7	NRN1
uc003mwv.3	NP_000120	F13A1
uc003mwy.1	O95711	LY86
uc003mxb.3	Q92766-2	RREB1
uc003mxf.4	P43307	SSR1
uc003mxl.2	D6RCT9	CAGE1
uc003mxn.3	Q9BRS2	RIOK1
uc003mxp.1	P15924	DSP
uc003mxr.3	Q6IEG0	SNRNP48
uc003mxu.4	P22004	BMP6
uc003mxv.3	Q8NBS9	TXNDC5
uc003mxx.4	B2R729	PIP5K1P1
uc003mxz.3	O43324	EEF1E1
uc010joe.3	Q9H1N7	SLC35B3
uc003myf.4		HULC
uc003myh.1	E9PHR2	OFCC1
uc003myr.3	P05549	TFAP2A
uc003mze.3	Q8NFS9	GCNT2
uc011dij.2	Q5T4I8	C6orf52
uc003mzg.3	Q9NWT1	PAK1IP1
uc021ylj.1	Q9P0S9	TMEM14C
uc003mzk.4	Q9NUH8	TMEM14B
uc021ylk.1	P20794-2	MAK
uc003mzn.4	O75603	GCM2
uc003mzo.3	Q5T4T6	SYCP2L
uc003mzp.4	Q9NXB9	ELOVL2
uc011dio.2	P0DJ93	SMIM13
uc003mzt.3	P60508	ERVFRD-1
uc003mzv.2	Q14511	NEDD9
uc031sms.1	NP_001257962	NEDD9
uc010jpa.4	Q5T4T1	TMEM170B
uc011dip.2	Q96IZ2-2	ADTRP
uc003nac.3	P15822	HIVEP1
uc003nae.4	P05305	EDN1
uc010jpc.3	Q9C0D0	PHACTR1
uc003nak.1	NP_001229627	LOC100130357
uc003nan.3	Q9P0N9	TBC1D7
uc003nar.3		AK127555
uc003nat.2	Q9NXC2	GFOD1
uc003nay.3	Q9NXA8	SIRT5
uc003naz.3	Q9UMY1	NOL7
uc003nbb.3	Q96S59	RANBP9
uc003nbc.2	Q96AQ8	MCUR1
uc003nbg.3	Q8N6D2	RNF182
uc003nbi.3	Q01151	CD83
uc003nbj.4	Q92833	JARID2
uc003nbm.3	Q96EV8	DTNBP1
uc031smv.1	NP_001258597	DTNBP1
uc031smw.1	NP_001258598	DTNBP1
uc003nbq.3	Q8WY64	MYLIP
uc003nbs.3	P36959	GMPR
uc010jpi.3	P54253	ATXN1
uc021ymc.1	H3BQB6	STMND1
uc003nbz.4	Q9BX46	RBM24
uc011diy.2	B7Z6B7	RBM24
uc003ncb.3	P40123	CAP2
uc003ncc.3	Q9UBU6	FAM8A1
uc003ncd.2	P49790	NUP153
uc003ncg.4	Q9H1H9	KIF13A
uc003ncl.1	Q6VVB1	NHLRC1
uc003ncm.3	P51580	TPMT
uc003ncn.1	Q8NB78-2	KDM1B
uc003ncr.1	P35659	DEK
uc003ncs.3	Q7Z419	RNF144B
uc003ncw.4	P47928	ID4
uc003ncx.2	Q6ZNC8	MBOAT1
uc003nda.2	O00716	E2F3
uc003ndd.2	Q5VV42	CDKAL1
uc003ndi.3	Q06945	SOX4
uc003ndm.2		LOC729177
uc003ndq.3	P01236	PRL
uc003nds.3	Q5TGJ6	HDGFL1
uc010jpq.1	Q8IZ57	NRSN1
uc003ndx.3	Q9UHG0	DCDC2
uc003ndz.1	Q9UBP8	KAAG1
uc003neb.3	Q9HD23	MRS2
uc003ned.2	P80108	GPLD1
uc003nef.3	G5E949	ALDH5A1
uc003neh.1	Q5VV43	KIAA0319
uc003nej.3	O95551	TDP2
uc003nek.3	Q9NPJ3	ACOT13
uc003nel.3	Q9GZU0	C6orf62
uc003nem.3	O75496	GMNN
uc003neo.1	Q9Y4F9	FAM65B
uc003ner.4	C1K3L2	CMAHP
uc011djw.2	Q5VZK9	LRRC16A
uc003nfb.3	O76038	SCGN
uc003nfc.3	Q96QV6	HIST1H2AA
uc003nfd.3	Q96A08	HIST1H2BA
uc003nfe.3	Q9Y2C5	SLC17A4
uc003nfh.4	Q14916	SLC17A1
uc003nfk.4	O00476-2	SLC17A3
uc003nfl.3	O00624-2	SLC17A2
uc003nfm.4	O00635	TRIM38
uc003nfo.3	Q02539	HIST1H1A
uc003nfp.1	P68431	HIST1H3A
uc003nfq.3	P62805	HIST1H4A
uc003nfr.3	P62805	HIST1H4B
uc003nfs.1	P68431	HIST1H3B
uc003nft.1	P04908	HIST1H2AB
uc003nfu.3	P33778	HIST1H2BB
uc003nfv.3	P68431	HIST1H3C
uc003nfw.3	P16403	HIST1H1C
uc003nfx.1	Q30201	HFE
uc003ngi.3	P62805	HIST1H4C
uc003ngj.3	P22492	HIST1H1T
uc003ngl.3	P62807	HIST1H2BC
uc003ngm.3	Q93077	HIST1H2AC
uc003ngq.3	P10412	HIST1H1E
uc003ngr.3	P58876	HIST1H2BD
uc003ngt.3	P62807	HIST1H2BE
uc003ngu.3	P62805	HIST1H4D
uc003ngv.4	P68431	HIST1H3D
uc003ngw.4	P20671	HIST1H2AD
uc003ngx.3	P62807	HIST1H2BF
uc003ngy.3	P62805	HIST1H4E
uc003ngz.2	P62807	HIST1H2BG
uc003nha.1	P04908	HIST1H2AE
uc003nhc.4	P68431	HIST1H3E
uc003nhd.3	P16402	HIST1H1D
uc003nhe.1	P62805	HIST1H4F
uc003nhf.3	Q99525	HIST1H4G
uc003nhg.1	P68431	HIST1H3F
uc003nhh.3	Q93079	HIST1H2BH
uc003nhi.3	P68431	HIST1H3G
uc003nhk.3	P62807	HIST1H2BI
uc003nhm.2	P62805	HIST1H4H
uc010jqi.2	P78410	BTN3A2
uc003nhq.3	Q8WVV5	BTN2A2
uc003nhv.3	O00481	BTN3A1
uc011dkl.1	Q96KV6	BTN2A3P
uc003nhz.3	O00478	BTN3A3
uc003nib.2	Q7KYR7	BTN2A1
uc003nif.4	Q13410	BTN1A1
uc011dkp.3		HCG11
uc003nig.3	O00479	HMGN4
uc003nii.3	Q9ULW3	ABT1
uc021yny.1	Q6U7Q0	ZNF322
uc003niv.3	P06899	HIST1H2BJ
uc003niw.3	P0C0S8	HIST1H2AG
uc003nix.2	O60814	HIST1H2BK
uc003niy.1	P62805	HIST1H4I
uc003niz.4	Q96KK5	HIST1H2AH
uc003nja.3	Q9NQE7	PRSS16
uc011dku.1	C9J1I7	POM121L2
uc010jqt.4		VN1R10P
uc011dkv.2	Q5DTE4	ZNF204P
uc003njf.1	Q9UJN7	ZNF391
uc003njg.1		BC132797
uc003nji.3	Q99676	ZNF184
uc021yrh.2		LOC100131289
uc003njl.3	Q99880	HIST1H2BL
uc003njm.3	P68431	HIST1H3H
uc003njn.1	Q99878	HIST1H2AJ
uc003njo.3	Q99879	HIST1H2BM
uc003njp.3	P62805	HIST1H4J
uc003njr.3	P62805	HIST1H4K
uc003njs.3	P0C0S8	HIST1H2AK
uc003njv.3	Q99877	HIST1H2BN
uc003njw.3	P0C0S8	HIST1H2AL
uc003njx.3	P16401	HIST1H1B
uc003njy.3	P68431	HIST1H3I
uc003njz.3	P62805	HIST1H4L
uc003nka.3	P68431	HIST1H3J
uc003nkb.1	P0C0S8	HIST1H2AM
uc003nkc.1	P23527	HIST1H2BO
uc011dkw.2	Q9GZK3	OR2B2
uc011dkx.2	P58173	OR2B6
uc021yro.1	P49910	ZNF165
uc010jqw.2	Q6ZRY0	LOC100129195
uc003nkm.3	Q9H4T2	ZSCAN16
uc003nkn.2	Q15776	ZKSCAN8
uc011dla.2		TOB2P1
uc003nkq.2	O15535	ZSCAN9
uc003nks.1	Q969J2	ZKSCAN4
uc003nkt.4	Q5M9Q1	NKAPL
uc003nku.4	NP_689949	ZSCAN26
uc003nkz.3	Q96JS3	PGBD1
uc003nla.3	Q96LW9	ZSCAN31
uc003nle.4	Q9BRR0	ZKSCAN3
uc011dlh.2	NP_001156863	ZSCAN12
uc003nli.4	Q3MJ62	ZSCAN23
uc021yrx.1	P59796	GPX6
uc003nll.2	O75715	GPX5
uc003nlo.3	Q6R2W3	SCAND3
uc003nlr.3	P14373	TRIM27
uc003nlu.2	Q5JNZ3	ZNF311
uc021ytq.1	NP_001182131	LOC100129636
uc003nlw.2	Q9Y3N9	OR2W1
uc003nlx.3	O76000	OR2B3
uc011dll.2	NP_001005216	OR2J3
uc011dlm.2	NP_112167	OR2J2
uc011dln.2	Q9UGF5	OR14J1
uc011dlo.2	Q9UGF6	OR5V1
uc003nme.3	Q9UGF7	OR12D3
uc003nmf.4	P58182	OR12D2
uc003nmg.3	Q9GZK7	OR11A1
uc011dlp.2	Q96KK4	OR10C1
uc003nmi.3	Q9GZK4	OR2H1
uc031smz.1	Q9GZK4	OR2H1
uc011dlq.2	P35410	MAS1L
uc003nmo.3	O15205	UBD
uc003nmr.1	O95918	OR2H2
uc003nmt.4	Q9UBS5	GABBR1
uc003nne.3	Q16653-5	MOG
uc011dlw.2	Q9NU63-3	ZFP57
uc003nno.4	Q5JZ48	HLA-F
uc010jrm.1	NP_001193972	LOC554223
uc003nnt.3	Q86V94	LOC554223
uc031snb.1	P17693	HLA-G
uc003nnw.2	P17693	HLA-G
uc021ytx.1	Q0MSI1	HLA-H
uc003nol.3	P04439	HLA-A
uc003rto.3	Q2KJ03	ZNRD1-AS1
uc003npa.3	Q9P1U0	ZNRD1
uc003npb.3	O60927	PPP1R11
uc003npe.3	Q9H2S5	RNF39
uc003npg.1	Q9BZY9	TRIM31
uc003npm.2	Q6P9F5-2	TRIM40
uc003npo.3	Q9UDY6	TRIM10
uc010jrx.3	Q9C019	TRIM15
uc003npt.3	Q12899	TRIM26
uc003npv.2	Q6ZSK9	HLA-L
uc010jsa.2	NP_001186048	TRIM39-RPP21
uc003nqg.3	Q6DU44	HLA-E
uc003nqh.3	P36915	GNL1
uc003nqi.2	P79522	PRR3
uc003nql.3	Q8NE71	ABCF1
uc003nqn.2	Q96QC0	PPP1R10
uc003nqo.2	Q9Y676	MRPS18B
uc003nqv.3	Q5SQI0-2	ATAT1
uc003nqx.4	F8VX15	C6orf136
uc003nqz.3	O60231	DHX16
uc003nra.3	Q6NYC8	PPP1R18
uc031sng.1	NP_001257636	NRM
uc003nrg.4	Q14676	MDC1
uc003nrl.3	P07437	TUBB
uc003nrm.3	O75955	FLOT1
uc003nrn.3	P46695	IER3
uc003nrp.1		AK098012
uc003nrv.3	Q08345-5	DDR1
uc003nsa.1	Q92759	GTF2H4
uc011dmz.2	F5GXJ0	VARS2
uc003nsf.3	Q6UW10	SFTA2
uc003nsg.2	E9PEI6	DPCR1
uc003nsh.2	Q5SSG8	MUC21
uc021yug.1	E2RYF6	MUC22
uc003nsk.1	Q6UXA7	C6orf15
uc003nsl.2	Q9UIG5	PSORS1C1
uc003nsm.2	NP_001255	CDSN
uc003nso.4	Q9UIG4	PSORS1C2
uc003nsp.4	Q8TD31-2	CCHCR1
uc003nss.3	Q9Y242	TCF19
uc003nsv.3	Q01860	POU5F1
uc011dni.3	H0YMJ2	HCG27
uc003nsy.3	P10321	HLA-C
uc003ntk.1	Q96QC4	MICA
uc003ntn.4	NP_005922	MICB
uc003ntp.1	P59942	MCCD1
uc003ntu.3	Q13838	DDX39B
uc003nua.3	O95670	ATP6V1G2
uc003nub.3	Q9UBC1	NFKBIL1
uc011dnu.2	P01374	LTA
uc003nui.4	P01375	TNF
uc003nuj.3		TNF
uc003nuk.3	Q06643	LTB
uc010jss.2	Q5STA8	LST1
uc010jsw.3	A8MT08	LST1
uc003nuv.2	O14931	NCR3
uc003nuy.3	P55008	AIF1
uc003nvc.4	P48634	PRRC2A
uc003nvf.4	P46379-2	BAG6
uc003nvl.3	O95445	APOM
uc003nvm.1	O95873	C6orf47
uc021yuu.1	O95872	GPANK1
uc003nvr.1	P67870	CSNK2B
uc031snp.1		CSNK2B
uc031snq.1	B4DUJ4	CSNK2B
uc003nvu.2	Q5SRR4	LY6G5C
uc003nvy.2	O95870	ABHD16A
uc011doa.2	B7Z8I9	ABHD16A
uc003nwa.1	Q5SQ64	LY6G6F
uc003nwc.2	Q9UKT1	LY6G6E
uc003nwh.3	O95867	LY6G6C
uc011doc.2	O95866	C6orf25
uc003nwq.3	O95865	DDAH2
uc003nwr.3	O00299	CLIC1
uc003nwu.2	O43196-2	MSH5-SAPCD1
uc003nwz.4	Q5SSQ6-2	MSH5-SAPCD1
uc011dog.2	Q9Y334	VWA7
uc003nxe.3	P26640	VARS
uc003nxg.3	Q9Y333	LSM2
uc003nxh.3	P34931	HSPA1L
uc003nxj.3	P08107	HSPA1A
uc003nxk.2	P08107	HSPA1B
uc003rjy.2	Q9UBA6	C6orf48
uc003nxq.4	Q99519	NEU1
uc010jti.3	Q53GD3	SLC44A4
uc003nxz.1	Q96KQ7	EHMT2
uc003nyd.1	Q9Y330	ZBTB12
uc011dor.2	B4E1Z4	CFB
uc003nyk.3	P18615	NELFE
uc003nyn.1	Q15477	SKIV2L
uc003nyp.1	O77932	DOM3Z
uc003nyv.3	P49842	STK19
uc011doy.2	A2BHY4	C4B_2
uc021yvd.1	Q16755	CYP21A2
uc021yve.1	Q16874	CYP21A1P
uc021yvf.2	P22105-2	TNXB
uc011dpd.2	A2BHY4	C4B_2
uc003nze.2	Q16874	CYP21A2
uc003nzl.2	P22105-3	TNXB
uc003nzn.3	Q99941	ATF6B
uc003nzr.3	Q9UIM3	FKBPL
uc003nzt.3	Q99946	PRRT1
uc003nzw.3	G8JLE1	PPT2
uc003oab.1	Q99944	PPT2-EGFL8
uc003oae.3	Q99943	AGPAT1
uc031snv.1	E7EM95	RNF5
uc003oap.2	Q3L1R8	AGER
uc003oav.1	P40425	PBX2
uc003oaz.3	Q9Y4H4	GPSM3
uc003obb.3	Q99466	NOTCH4
uc003obd.1		AK123889
uc021yvs.1	Q5SRN2	C6orf10
uc003obg.1	Q9UIR0	BTNL2
uc003obh.3	NP_061984	HLA-DRA
uc003obj.3	Q30154	HLA-DRB5
uc003obr.3	NP_002113	HLA-DQA1
uc031snw.1	Q5SU54	HLA-DQB1
uc003obx.3	P01906	HLA-DQA2
uc003oby.4	Q5SR06	HLA-DQB2
uc003ocd.3	NP_000535	TAP2
uc003oce.3	P28062	PSMB8
uc003ocg.3	Q03518	TAP1
uc003sga.3	P28065	PSMB9
uc003ocl.2	NP_002109	HLA-DMB
uc003ocm.2	Q31604	HLA-DMA
uc010jug.1		BRD2
uc021ywf.1	NP_001186385	BRD2
uc003ocr.3	P06340	HLA-DOA
uc003ocs.2	P20036	HLA-DPA1
uc003ocu.2	P04440	HLA-DPB1
uc003ocv.1	B4DVQ8	HLA-DPB2
uc003ocx.1	NP_542411	COL11A2
uc003odc.4	Q5STQ1	RXRB
uc003odf.3	Q92504	SLC39A7
uc003odi.2	Q92506	HSD17B8
uc003odk.3	Q06587	RING1
uc003odm.1	Q8N1B4	VPS52
uc003odp.1	P62269	RPS18
uc003odr.3	O96024	B3GALT4
uc003ods.3	O15213	WDR46
uc031sny.1	O15212	PFDN6
uc003odv.3	O15211	RGL2
uc003odz.3	NP_757345	TAPBP
uc010juu.3	O15209	ZBTB22
uc011dre.2	B4E1C1	DAXX
uc003oef.4	Q9BW19	KIFC1
uc003oeh.3	NP_077084	PHF1
uc003oen.1	O60888-2	CUTA
uc011dri.2	Q96PV0	SYNGAP1
uc003oeq.3	Q96C00	ZBTB9
uc003oes.3	Q16611	BAK1
uc003oew.1	Q6ZUF6	LINC00336
uc021ywr.1	Q14573	ITPR3
uc003ofa.2	Q9BRT2	MNF1
uc003ofb.2	Q96PC2	IP6K3
uc011drm.2	Q8NC56	LEMD2
uc003off.1	P12872	MLN
uc010jvh.4	Q14833	GRM4
uc011dso.2	H7BYM6	HMGA1
uc003ojh.3	Q86T20	C6orf1
uc021yyt.1	NP_001189399	RPS10-NUDT3
uc003ojp.4	Q9BY11	PACSIN1
uc003ojq.2	O95238	SPDEF
uc003ojr.2	Q9H6K1	C6orf106
uc003ojt.2	P09234	SNRPC
uc003oju.4	Q6BDS2	UHRF1BP1
uc003ojw.2	Q15544	TAF11
uc003ojx.4	Q92625	ANKS1A
uc003okd.2	J3KNG1	TCP11
uc003okf.1	Q8IX30	SCUBE3
uc003oki.1	P36508	ZNF76
uc003okk.3	Q9H4E7	DEF6
uc003okm.3	Q03181	PPARD
uc003oko.1	Q9HB96	FANCE
uc003okp.1	P62906	RPL10A
uc003oku.4	Q99594	TEAD3
uc003okv.4	O00294	TULP1
uc003okx.2	Q13451	FKBP5
uc003ola.3	Q5T9G4-2	ARMC12
uc010jvz.1	Q6UWE3	CLPSL2
uc003old.4	A2RUU4	CLPSL1
uc003ole.2	P04118	CLPS
uc003olg.1	Q8TAF8	LHFPL5
uc003olj.3	Q96SB4	SRPK1
uc003olm.3	Q96RN1	SLC26A8
uc003olq.3	Q16539	MAPK14
uc003ols.4	O15264	MAPK13
uc003olv.4	Q9ULD4	BRPF3
uc010jwf.2	Q8N8W4	PNPLA1
uc003oly.3	P0C671	C6orf222
uc003omb.3	Q9Y603	ETV7
uc003omd.2	J3KR74	PXT1
uc003ome.3	Q7Z5Y7	KCTD20
uc003omh.3	Q15208	STK38
uc003omj.3	P84103	SRSF3
uc021yzb.1	P38936	CDKN1A
uc010jwm.2	NP_001244286	RAB44
uc003omr.1	Q9HCH3	CPNE5
uc003omu.2	Q9Y3C6	PPIL1
uc003omw.3	Q6UWU4-2	C6orf89
uc003ona.3	Q6UXB8	PI16
uc003ond.2	Q9NZJ7	MTCH1
uc010jwp.1	Q7Z6J4	FGD2
uc003onk.3	NP_002639	PIM1
uc011dtw.2	B4DW03	PIM1
uc003onl.3	Q8N7C4	TMEM217
uc010jws.3	Q8N0U3	TMEM217
uc003onn.3	Q9NU19	TBC1D22B
uc003onq.4	O76064	RNF8
uc003ons.3	Q8N1G2	FTSJD2
uc003ont.3	Q9P0B6	CCDC167
uc003onu.1	Q8NFP4	MDGA1
uc003onx.3	Q9H8U3	ZFAND3
uc010jwx.3	Q96Q07	BTBD9
uc003oob.1		AX747659
uc003ooc.3	Q04760	GLO1
uc021yzh.1	NP_001193856	DNAH8
uc003ooj.4	P43220	GLP1R
uc003ook.1	Q9NPB0	SAYSD1
uc003oon.3	O95279	KCNK5
uc003ooo.3	Q96T54	KCNK17
uc003ooq.3	Q96T55	KCNK16
uc003oot.2	Q6ZMV9	KIF6
uc003oow.3	Q86T65	DAAM2
uc003ooz.2		AX747174
uc003opb.3	Q9NZB8-8	MOCS1
uc003oph.1	Q9ULH4	LRFN2
uc003opi.3	Q8IV45	UNC5CL
uc003opj.3	Q5TGU0	TSPO2
uc003opk.3		TSPO2
uc003opl.3	Q9Y235	APOBEC2
uc003opm.3	Q9Y530	OARD1
uc003opo.3	P23511	NFYA
uc031soo.1	P23511	NFYA
uc010jxi.1		ADCY10P1
uc011duc.3	Q86YW5	TREML1
uc003opy.3	Q9NZC2	TREM2
uc010jxm.1	Q5T2D2	TREML2
uc003oqc.3	Q6UXN2	TREML4
uc003oqf.2	Q9NP99	TREM1
uc003oqh.2	O95944	NCR2
uc003oql.3	Q8IVH2	FOXP4
uc003oqq.4	Q99750	MDFI
uc003oqu.2	B0QYS6	TFEB
uc003oqx.2	NP_001161299	TFEB
uc003ora.2	P20142	PGC
uc003orc.1	O43559	FRS3
uc011duf.1	Q2TBC4-3	PRICKLE4
uc011dug.1	Q96B49	TOMM6
uc003ori.3	Q70CQ1-2	USP49
uc003ork.3	Q9H944	MED20
uc011dui.3		MED20
uc003orl.3	Q13895	BYSL
uc003orn.3	P30281	CCND3
uc003ors.3	Q7Z7C8	TAF8
uc003orw.2	Q5T0Z8	C6orf132
uc003orx.3	P43080	GUCA1A
uc003orz.3	Q9UMX6	GUCA1B
uc003osa.4	P82664	MRPS10
uc003osd.2	Q96PN7	TRERF1
uc011dur.2	Q8IWV8	UBR2
uc003osk.3	NP_000313	PRPH2
uc003osl.3	NP_003183	TBCC
uc003osp.1	Q6AI39	GLTSCR1L
uc003osq.1	Q6DKI1	RPL7L1
uc003osw.3	Q5I0X4	C6orf226
uc021yzp.1	NP_001230097	PTCRA
uc003ota.4	Q9BT09	CNPY3
uc003otd.3	Q14749	GNMT
uc003otf.3	Q13608	PEX6
uc003oth.4	Q14738	PPP2R5D
uc003otk.3	Q16626	MEA1
uc003otl.3	Q9BQ90	KLHDC3
uc003otp.1	Q96EU6	RRP36
uc011dvb.2	F5H0L1	CUL7
uc003ots.1	Q5T653	MRPL2
uc003otw.1	Q9NSK0-3	KLC4
uc011dve.2	E9PFZ5	PTK7
uc003oui.3	P11831	SRF
uc003ouk.3	Q8IWT3	CUL9
uc003ouo.3	O43598	DNPH1
uc003ouq.1	Q5TCY1	TTBK1
uc003out.3	Q9Y694	SLC22A7
uc003ouu.1	Q6Q6R5-3	CRIP3
uc003oux.3	Q5VUA4	ZNF318
uc003ouy.1	Q5T3U5	ABCC10
uc003ovb.3	Q6UY11	DLK2
uc011dvh.1	Q5JTD0-2	TJAP1
uc003ovk.2	Q5JTD7	LRRC73
uc003ovl.2	Q9GZM5	YIPF3
uc003ovn.3	O15160	POLR1C
uc003ovp.3	Q9HAV4	XPO5
uc003ovq.4	Q9Y253	POLH
uc003ovs.3	Q9BX10	GTPBP2
uc003ovu.3	E9PAT7	MAD2L1BP
uc003ovx.2	Q9H1X1-2	RSPH9
uc003ovy.2	Q9NVS2	MRPS18A
uc003owh.3	P15692	VEGFA
uc003own.3	Q8N319	C6orf223
uc003owp.3	Q6P1L8	MRPL14
uc003owr.3	Q5T3F8	TMEM63B
uc003owt.1	Q9UMQ6	CAPN11
uc003owy.2	Q99808	SLC29A1
uc031sor.1	P08238	HSP90AB1
uc003oxd.3	Q8TB61	SLC35B2
uc003oxe.1	O00221	NFKBIE
uc003oxh.2	Q8IW70	TMEM151B
uc003oxi.2	Q5JU00	TCTE1
uc010jza.1	NP_065796	AARS2
uc021yzz.1	Q496A3	SPATS1
uc003oxl.3	Q99459	CDC5L
uc003oxp.4	O75486	SUPT3H
uc011dvx.2	Q13950	RUNX2
uc003oxv.3	Q9NZA1	CLIC5
uc003oxy.3	Q9Y6X5	ENPP4
uc003oxz.1	Q9UJA9	ENPP5
uc003oyc.2	Q14206-2	RCAN2
uc003oyf.1	Q9NYL5	CYP39A1
uc003oyh.3	O95847	SLC25A27
uc003oyj.3	O60522	TDRD6
uc021zae.1	Q13093	PLA2G7
uc011dwf.2	H3BNB7	ANKRD66
uc010jzh.1	Q16819	MEP1A
uc003oyo.3	Q8IZF2	GPR116
uc003oyt.3	Q5T601	GPR110
uc003oyv.3	O75509	TNFRSF21
uc003oyw.3	Q9Y5K6	CD2AP
uc003oyy.3	Q8IZF7-2	GPR111
uc003oza.1	Q8IZF3	GPR115
uc003ozc.3	Q6U736	OPN5
uc011dwm.2	Q6ZW05	PTCHD4
uc003ozg.4	P22033	MUT
uc003ozh.1	Q7L2Z9	CENPQ
uc003ozi.3	Q5SZD4	GLYATL3
uc011dwo.2	NP_001139124	C6orf141
uc003ozk.4	Q02094	RHAG
uc003ozo.3	P16562	CRISP2
uc003ozs.3	P54108-2	CRISP3
uc003ozu.3	P07205	PGK2
uc003ozw.2	P54107	CRISP1
uc003ozy.2	Q30KQ1	DEFB133
uc011dwp.2	Q30KQ6	DEFB114
uc011dwq.2	Q30KQ7	DEFB113
uc003pac.3	Q30KQ9	DEFB110
uc011dws.2	Q30KQ8	DEFB112
uc003paf.3	Q7Z6R9	TFAP2D
uc003pag.3	Q92481	TFAP2B
uc003pah.1	P08F94	PKHD1
uc003pak.1	Q16552	IL17A
uc003pam.1	Q96PD4	IL17F
uc011dwu.2	NP_001257401	MCM3
uc003pao.4	Q8TEZ7	PAQR8
uc003pap.4	Q5JVL4	EFHC1
uc003paq.3	Q15035	TRAM2
uc003pax.3	Q9Y6G1	TMEM14A
uc003pay.3	P09210	GSTA2
uc003paz.3	P08263	GSTA1
uc003pba.1	Q7RTV2	GSTA5
uc003pbb.3	Q16772	GSTA3
uc003pbf.3	O15217	GSTA4
uc003pbi.2	Q9UPZ9	ICK
uc021zao.1	NP_258442	FBXO9
uc003pbp.3	Q9NP62	GCM1
uc011dwx.2	F6SH78	ELOVL5
uc031sox.1		RPS16P5
uc003pbw.2	P48506	GCLC
uc003pcb.4	Q9H511	KLHL31
uc003pcc.1		AX746830
uc003pcd.1	Q9BTT6	LRRC1
uc011dxa.2	Q5VWP3-3	MLIP
uc003pcj.2	Q9UJW2	TINAG
uc003pck.4	Q5T0W9	FAM83B
uc003pcl.3	O43614	HCRTR2
uc003pcm.1	Q6UXV0	GFRAL
uc003pcn.3	Q8TB92	HMGCLL1
uc003pcq.3	P22003	BMP5
uc003pcs.3	Q96P44	COL21A1
uc021zba.2	NP_001138241	DST
uc010kab.3	Q5SZJ8	BEND6
uc003pdj.3	Q9HCI6	KIAA1586
uc003pdm.2	Q9Y4E5	ZNF451
uc003pdr.3	O95816	BAG2
uc003pdt.3	Q9ULC3	RAB23
uc003pdx.3	P49643	PRIM2
uc011dxq.1	B7ZVW5	GUSBP4
uc003peg.2	Q5VWX1	KHDRBS2
uc003peh.3	Q5TDP6	LGSN
uc003pel.3	Q93096	PTP4A1
uc003pep.1	Q92576	PHF3
uc011dxu.1	Q5T1H1-1	EYS
uc011dxv.3	NP_001258604	LOC441155
uc003pev.4	NP_001695	BAI3
uc003pfa.3	Q9NUN5	LMBRD1
uc003pfc.1	Q14993	COL19A1
uc003pfg.4	P20849	COL9A1
uc003pfj.3	Q9P2D6	FAM135A
uc003pfq.1	Q5VUM1	C6orf57
uc003pfr.3	Q8IYB5	SMAP1
uc003pfv.3	Q9NPZ5	B3GAT2
uc003pfx.1	Q5TC84	OGFRL1
uc003pga.4	Q86UR5	RIMS1
uc011dyh.2	A6PVT6	KCNQ5
uc003pgm.4	Q5JSQ8	KHDC1L
uc003pgn.4	NP_085045	KHDC1
uc003pgs.2	A6NC42	DPPA5
uc003pgt.4	Q587J8	KHDC3L
uc003pgu.4	A6NGQ2	OOEP
uc003pgw.3	Q9NXZ2	DDX43
uc003pgx.1	Q8N884	MB21D1
uc003pgy.4	Q9Y2Z2	MTO1
uc003phj.3	P68104	EEF1A1
uc003phn.4	Q9NRA2	SLC17A5
uc003php.3	Q6YHK3	CD109
uc003phs.3	Q99715	COL12A1
uc003phv.2	H0UI06	COX7A2
uc003phw.2	Q9NV96	TMEM30A
uc003pia.3	Q7Z7B0	FILIP1
