#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.geneSymbol
uc001aot.3	Q07011	TNFRSF9
uc001aox.4	Q99497	PARK7
uc001aoz.3	Q9UJM3	ERRFI1
uc001apb.3	Q9Y2W3	SLC45A1
uc001apg.1		BC113958
uc001apf.3	Q9P2R6	RERE
uc001apj.2	P06733	ENO1
uc031plc.1	Q5FC00	CA6
uc009vmo.1	Q6PXP3	SLC2A7
uc001apo.3	P22732	SLC2A5
uc001apq.1	Q5UAW9	GPR157
uc001aps.3		GPR157
uc009vmq.3		mir-34
uc001apt.3	O95479	H6PD
uc010oae.2	Q96BD6	SPSB1
uc001apw.3	Q9BSK2	SLC25A33
uc021ofy.1	Q5SNT2	TMEM201
uc001aqc.4	Q5SR53	C1orf200
uc001aqb.4	O00329	PIK3CD
uc001aqh.3	O94985	CLSTN1
uc001aql.1	Q9NSA3	CTNNBIP1
uc001aqm.3	Q8WZA0	LZIC
uc001aqp.3	Q9HAN9	NMNAT1
uc001aqq.3	Q96R05	RBP7
uc001aqs.4	O95155	UBE4B
uc001aqw.4	O60333-2	KIF1B
uc001arc.3	P52209	PGD
uc021ogd.1	Q8N2Z9-3	APITD1-CORT
uc001arj.3	O00273	DFFA
uc001arn.3	O75381	PEX14
uc001aro.4	Q86V15	CASZ1
uc010oao.2	G8JLG8	C1orf127
uc001art.3	Q13148	TARDBP
uc001aru.3	O00187	MASP2
uc001arz.1	P19623	SRM
uc001asa.3	Q01780	EXOSC10
uc001ase.4	O43827	ANGPTL7
uc001asd.3	P42345	MTOR
uc001asg.3	Q9Y5Z9	UBIAD1
uc001ash.4	Q9P2K9	PTCHD2
uc001asj.3	Q9UK22	FBXO2
uc001asm.3	Q9H4M3	FBXO44
uc001aso.3	Q9NRD1	FBXO6
uc009vnc.3	Q9UI95	MAD2L2
uc001asr.1	Q8NBI3	DRAXIN
uc001ass.2		AK125437
uc001asv.3	Q6RW13	AGTRAP
uc001asz.3	Q5SNV9	C1orf167
uc001atc.2	P42898	MTHFR
uc001ate.5	NP_001277	CLCN6
uc001ati.3	NP_006163	NPPA
uc001atj.3	P16860	NPPB
uc001atk.3	Q8IYS2	KIAA2013
uc001atm.3	Q02809	PLOD1
uc009vni.3	O95140	MFN2
uc001ato.2	Q5JXC2	MIIP
uc001atq.3	NP_001234	TNFRSF8
uc001att.3	P20333	TNFRSF1B
uc001atv.3	J3KP14	VPS13D
uc001auc.3	O75911	DHRS3
uc001auf.3	Q5VUY2	AADACL4
uc009vnn.1	Q5VUY0	AADACL3
uc001auh.3	Q8N1D5	C1orf158
uc001aui.3	O95522	PRAMEF12
uc001auj.2	O95521	PRAMEF1
uc001auk.2	O60813	PRAMEF11
uc009vno.2	B7ZW38	LOC649330
uc001aum.1	O60811	PRAMEF2
uc001aun.2	O60810	PRAMEF4
uc001auo.3	O60809	PRAMEF10
uc001aup.3	Q5VWM4	PRAMEF8
uc001auq.2	Q5VXH4	PRAMEF6
uc009vnq.1	A3QJZ6	PRAMEF22
uc010obg.2	NP_001130033	LOC440563
uc001aut.1	A3QJZ6	PRAMEF3
uc001auu.1	Q5VXH4	PRAMEF5
uc001auv.3	Q5VWM4	PRAMEF8
uc001auw.1	Q5VWM5	PRAMEF9
uc010obi.1	Q5VWM6	PRAMEF13
uc009vnu.1	Q5VWM3	PRAMEF19
uc001aux.3	Q5VWM1	PRAMEF16
uc009vnv.1	Q5VT98	PRAMEF20
uc001auy.2	Q5VWM4	PRAMEF8
uc001ava.1	Q5VWM5	PRAMEF9
uc009vny.1	Q5VWM3	PRAMEF19
uc009vnz.1	Q5VTA0	PRAMEF17
uc009voa.1	Q5VT98	PRAMEF20
uc001avb.3	Q5VT99	LRRC38
uc001avd.3	Q86YL7-3	PDPN
uc001avi.3	Q13029	PRDM2
uc001avm.4	Q674X7	KAZN
uc001avx.3	Q9NW97	TMEM51
uc001awb.2	B1AJZ9	FHAD1
uc001awh.2	Q96C19	EFHD2
uc001awi.1	Q99895	CTRC
uc001awk.3	P08217	CELA2A
uc001awl.3	NP_056933	CELA2B
uc001awn.4	P55211	CASP9
uc001aws.3	Q9Y2G8	DNAJC16
uc001awv.2	Q9BSE5	AGMAT
uc001awx.2	Q5TDH0	DDI2
uc010obn.2	Q92681	RSC1A1
uc010obo.2	Q8IWE5	PLEKHM2
uc001axb.1	Q6PIV7	SLC25A34
uc001axc.4	A0PJX8	TMEM82
uc001axe.1	Q8WUP2	FBLIM1
uc009vol.1	NP_001083060	UQCRHL
uc001axk.1	Q96T58	SPEN
uc001axl.4	Q13105	ZBTB17
uc001axn.3	Q8NEQ6	C1orf64
uc001axo.2	Q9UBY9	HSPB7
uc001axu.3	P51800	CLCNKA
uc001axz.4	Q96AQ9	FAM131C
uc001aya.2	P29317	EPHA2
uc001ayc.1	Q8IW93	ARHGEF19
uc001ayd.3	Q9BU20	RSG1
uc001ayg.3	Q6P3S6	FBXO42
uc001aym.5	Q7Z422	SZRD1
uc001ayn.3	Q7Z572	SPATA21
uc001ayq.3	Q9NVZ3-2	NECAP2
uc001ayv.2	Q8NA34	AX747988
uc001ayw.4	Q3BBV0	NBPF1
uc001azn.1	O95559	ESPNP
uc010ock.3	Q2TV78-2	MST1L
uc001azt.2	Q5TZA2	CROCC
uc001azw.3	P55001	MFAP2
uc001baa.2	Q9NQ11	ATP13A2
uc001bae.3	P21912	SDHB
uc001baf.3	Q9Y2J8	PADI2
uc001bah.1	Q9ULC6	PADI1
uc009vpb.1		PADI1
uc001bai.3	Q9ULW8	PADI3
uc001baj.2	Q9UM07	PADI4
uc001bak.1	Q6TGC4	PADI6
uc001bal.3	Q9P258	RCC2
uc001ban.3	NP_060595	ARHGEF10L
uc001bat.3	Q9H568	ACTL8
uc001bau.2	Q96ID5	IGSF21
uc001bax.3	Q5VTJ3	KLHDC7A
uc001bay.3	P23759	PAX7
uc001bba.1	Q8TE23	TAS1R2
uc001bbc.3	P30038	ALDH4A1
uc001bbd.2	Q5TF58	IFFO2
uc001bbi.3	Q5T4S7	UBR4
uc001bbo.4	Q8N766	EMC1
uc001bbs.3	Q9UKD2	MRTO4
uc021ohn.1	Q8NHP1-2	AKR7L
uc001bbv.1	O95154	AKR7A3
uc001bbw.3	O43488	AKR7A2
uc001bby.3	Q6ZP29	PQLC2
uc001bcf.2		AX748283
uc021ohr.1	P47756	CAPZB
uc021ohx.2		RPS14P3
uc021ohu.1	NP_001191012	MINOS1
uc001bcj.2	P41271-2	NBL1
uc031plj.1	NP_001265093	NBL1
uc001bcl.3	P50406	HTR6
uc001bcn.3	Q5TGY1	TMCO4
uc001bcr.3	Q9NXI6	RNF186
uc001bcs.4	Q5T2D3	OTUD3
uc001bct.1	Q9NZK7	PLA2G2E
uc010odb.2	P14555	PLA2G2A
uc001bcy.3	P39877	PLA2G5
uc001bcz.4	Q9UNK4	PLA2G2D
uc009vpp.1	Q9BZM2-2	PLA2G2F
uc009vpq.1	J3KMZ3	PLA2G2C
uc001bdb.3	Q96LJ8	UBXN10
uc009vps.2	Q5TIE3-2	VWA5B1
uc001bdh.3	Q7Z7J9	CAMK2N1
uc001bdi.4	Q969V5	MUL1
uc001bdj.3	Q6ZT52	FAM43B
uc001bdk.3	P32320	CDA
uc001bdm.3	Q9BXM7	PINK1
uc001bdo.1	NP_005207	DDOST
uc001bdr.4	Q9P2E2	KIF17
uc009vpy.1	Q6ZV89	SH2D5
uc001bdw.1	Q5SSJ5	HP1BP3
uc001bef.3	NP_001185730	EIF4G3
uc001bei.2	P42892-4	ECE1
uc001ber.4	Q9H094	NBPF3
uc001bet.3	P05186	ALPL
uc001bew.3	J3QSS6	RAP1GAP
uc001bfb.3	Q86UV5	USP48
uc001bfg.1	Q5SZI1	LDLRAD2
uc001bfj.3	P98160	HSPG2
uc001bfk.3	P08861	CELA3B
uc001bfr.3	P60953	CDC42
uc001bfs.4	P56705	WNT4
uc001bfu.2	Q9NUA8	ZBTB40
uc001bfx.1	P29322	EPHA8
uc001bfy.3	P02745	C1QA
uc001bga.4	P02747	C1QC
uc001bgd.3	P02746	C1QB
uc001bge.3	P29323-3	EPHB2
uc001bgh.1	H3BTG2	LOC729059
uc001bgj.2	O60341-2	KDM1A
uc010odv.1	Q86V48	LUZP1
uc001bgn.3	P28221	HTR1D
uc001bgp.4	O43390-2	HNRNPR
uc001bgt.3	Q9C0F3	ZNF436
uc001bgw.3	Q8NC38	C1orf213
uc021oig.1	O75764	TCEA3
uc001bhd.4		BC038455
uc001bha.2	Q8TDY4	ASAP3
uc001bhe.2	Q14209	E2F2
uc001bhh.4	Q02535	ID3
uc001bhk.3	P62913	RPL11
uc001bho.3	Q14241	TCEB3
uc001bhq.3	Q9GZP4	PITHD1
uc001bht.3	O95372	LYPLA2
uc009vqo.1	Q14376	GALE
uc001bib.3	P35914	HMGCL
uc001bie.3	P04066	FUCA1
uc001bif.3	P34972	CNR2
uc001big.3	Q9NPJ4	PNRC2
uc021oir.1	O75494	SRSF10
uc001bin.4	Q5VTT5	MYOM3
uc001biq.2	Q8N6P7	IL22RA1
uc001bis.3	Q8IU57	IFNLR1
uc021oiw.1	Q8TE85	GRHL3
uc001bjc.3	Q5TH74	STPG1
uc001bjh.3	Q6P499	NIPAL3
uc001bjj.3	Q9UKA8	RCAN3
uc001bjk.2	Q5T1S8	NCMAP
uc001bjm.3	Q8IYB3	SRRM1
uc001bjo.2	Q9Y696	CLIC4
uc001bjq.3	Q13761	RUNX3
uc001bjt.1	O95926	SYF2
uc001bjw.3	Q9BUV0	C1orf63
uc001bjz.3	Q7RU08	RHD
uc001bke.3	O95807	TMEM50A
uc001bkf.3	NP_065231	RHCE
uc031pln.1	E7EMF2	RHCE
uc031plo.1	E7EU00	RHCE
uc001bkk.3	Q8N5G2	TMEM57
uc001bkl.4	Q5SW96	LDLRAP1
uc001bkm.2	Q9NR34	MAN1C1
uc021ojl.1	Q9NZV5-2	SEPN1
uc001bkq.4	Q9H019	MTFR1L
uc001bkw.1	Q9H7T9	AUNIP
uc001bkx.3	Q86WK9	PAQR7
uc010oev.2	P16949-2	STMN1
uc001bld.4	Q99487	PAFAH2
uc001blf.3	Q92935	EXTL1
uc001blg.1	Q9BRI3-2	SLC30A2
uc001bli.2	Q969Q1	TRIM63
uc009vsb.3	Q8N165	PDIK1L
uc001blk.3	Q8TAY7	FAM110D
uc001bll.4	O00488	ZNF593
uc001blm.4	Q53GM7	CNKSR1
uc010oez.2	Q7RTX7	CATSPER4
uc001bls.1	Q6P2H3	CEP85
uc001blu.3	Q9H299	SH3BGRL3
uc001blw.3	Q5T124	UBXN11
uc001bmc.3	P31358	CD52
uc001bmd.4	NP_001034864	AIM1L
uc009vsj.1	Q8IZ20-2	ZNF683
uc001bmj.3	Q9H9Z2	LIN28A
uc001bmk.3	Q86SQ9-2	DHDDS
uc001bmp.4	P05204	HMGN2
uc001bms.1	Q15418-2	RPS6KA1
uc001bmv.1	O14497	ARID1A
uc001bmz.3	Q9NUD9	PIGV
uc001bnb.3	Q9NUE0	ZDHHC18
uc001bnc.1	P31947	SFN
uc001bnd.1	Q9H9Y4	GPN2
uc001bne.3	Q96I76	GPATCH3
uc001bnf.3	Q15466	NR0B2
uc001bng.2	Q9Y266	NUDC
uc001bni.2	Q8NAX2	C1orf172
uc001bnj.4	NP_001013664	TRNP1
uc010ofj.2	Q96A09	FAM46B
uc001bnm.4	P19634	SLC9A1
uc009vst.3	Q8N5D0	WDTC1
uc001bnr.4	Q9H0R3	TMEM222
uc001bnw.2	Q8IYJ3	SYTL1
uc001bny.1	O95382	MAP3K6
uc001boa.3	O75636	FCN3
uc001boc.3	NP_997280	CD164L2
uc001bod.4	P46089	GPR3
uc001bof.2	Q9Y6W5	WASF2
uc009vsy.3	Q5TGY3	AHDC1
uc001bom.3	P09769	FGR
uc001bon.1	P09912-3	IFI6
uc001bor.3	Q8TAV0-3	FAM76A
uc001bou.4	Q86Y82	STX12
uc001bov.2	Q12972	PPP1R8
uc001bpc.4	Q5TEJ8	THEMIS2
uc001bpe.1	P15927	RPA2
uc001bpg.3	Q92485	SMPDL3B
uc001bph.1	Q9H6D3	XKR8
uc001bpi.2	Q99504	EYA3
uc001bpl.3	P25105	PTAFR
uc001bpn.3	O75937	DNAJC8
uc001bpq.3	Q9UII2	ATPIF1
uc001bps.3	P58004	SESN2
uc009vtg.3	Q9BUE0	MED18
uc001bpy.3	Q8IZ21-2	PHACTR4
uc001bqd.3		SNHG3
uc001bqf.2	P18754-2	RCC1
uc001bqi.3	Q9NX07	TRNAU1AP
uc001bqv.3	NP_001180461	RAB42
uc001bqy.3	Q16514	TAF12
uc001bra.3	Q9Y692	GMEB1
uc021okf.1	Q9Y5A9	YTHDF2
uc001brf.1	P41143	OPRD1
uc001brm.2	P11171	EPB41
uc001brn.2	Q69YZ2	TMEM200B
uc001bro.3	Q08170	SRSF4
uc001brq.1	Q9BV79	MECR
uc001bru.3	Q92729	PTPRU
uc001brz.3	P21941	MATN1
uc001bsc.2	Q13571	LAPTM5
uc001bse.2	O75056	SDC3
uc001bsh.1	E9PCJ0	PUM1
uc010ogd.2	Q4KMZ8	NKAIN1
uc009vtt.3		SNRNP40
uc001bso.3	Q96DI7	SNRNP40
uc001bsp.1	Q9NP64	ZCCHC17
uc001bss.1	P05413	FABP3
uc010ogh.2	Q96SA4-2	SERINC2
uc021okn.1		LOC149086
uc001bta.3	Q9GZM7	TINAGL1
uc009vtx.2	O43613	HCRTR1
uc001bth.2	Q9UBV8	PEF1
uc001btk.1	Q07092	COL16A1
uc001btn.3	O60241	BAI2
uc001bts.1	Q6ZMY3	SPOCD1
uc001bty.2	Q12974	PTP4A2
uc001bub.4	Q07666	KHDRBS1
uc010ogv.2	Q9GZU3	TMEM39B
uc001bug.3	O60684	KPNA6
uc001bui.3	P40222	TXLNA
uc001bul.1	Q9BUN5	CCDC28B
uc001bum.2	Q4KMZ1	IQCC
uc001bun.2	A2VCK2	DCDC2B
uc001buq.4	Q8WY98-3	TMEM234
uc009vuc.3	Q13347	EIF3I
uc001buw.3	Q9BTA0	FAM167B
uc001buy.3	P06239	LCK
uc001bvb.1	Q13547	HDAC1
uc001bvd.4	P49006	MARCKSL1
uc021oku.1	H3BQW9	FAM229A
uc001bvf.3	Q96PN8	TSSK3
uc010ohg.2	Q9NW68-7	BSDC1
uc001bvl.4	Q8NAP8	ZBTB8B
uc001bvn.3	Q96BR9	ZBTB8A
uc001bvp.3	A8K0B5	ZBTB8OS
uc001bvr.3	Q09028	RBBP4
uc001bvt.2	NP_110413	SYNC
uc001bvu.1	Q9P206-2	KIAA1522
uc001bvy.1	P54577	YARS
uc001bwc.4	Q96BU1	S100PBP
uc001bwg.3	Q8NAU1-3	FNDC5
uc001bwh.3	P84074	HPCA
uc001bwi.1	Q969K7	TMEM54
